Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
10 Comunitat Valenciana;Ambos sexos;2000;78,76
10 Comunitat Valenciana;Hombres;2021;79,48
10 Comunitat Valenciana;Hombres;2020;79,76
10 Comunitat Valenciana;Hombres;2019;80,33
10 Comunitat Valenciana;Hombres;2018;79,97
10 Comunitat Valenciana;Hombres;2017;79,90
10 Comunitat Valenciana;Hombres;2016;79,96
10 Comunitat Valenciana;Hombres;2015;79,55
10 Comunitat Valenciana;Hombres;2014;79,84
10 Comunitat Valenciana;Hombres;2013;79,81
10 Comunitat Valenciana;Hombres;2012;79,11
10 Comunitat Valenciana;Hombres;2011;78,98
10 Comunitat Valenciana;Hombres;2010;78,76
10 Comunitat Valenciana;Hombres;2009;78,38
10 Comunitat Valenciana;Hombres;2008;77,97
10 Comunitat Valenciana;Hombres;2007;77,49
10 Comunitat Valenciana;Hombres;2006;77,42
10 Comunitat Valenciana;Hombres;2005;76,62
10 Comunitat Valenciana;Hombres;2004;76,69
10 Comunitat Valenciana;Hombres;2003;75,87
10 Comunitat Valenciana;Hombres;2002;75,73
10 Comunitat Valenciana;Hombres;2001;75,72
10 Comunitat Valenciana;Hombres;2000;75,47
10 Comunitat Valenciana;Mujeres;2021;84,99
10 Comunitat Valenciana;Mujeres;2020;84,95
10 Comunitat Valenciana;Mujeres;2019;85,64
10 Comunitat Valenciana;Mujeres;2018;85,16
10 Comunitat Valenciana;Mujeres;2017;85,09
10 Comunitat Valenciana;Mujeres;2016;85,18
10 Comunitat Valenciana;Mujeres;2015;84,91
10 Comunitat Valenciana;Mujeres;2014;84,94
10 Comunitat Valenciana;Mujeres;2013;84,88
10 Comunitat Valenciana;Mujeres;2012;84,59
10 Comunitat Valenciana;Mujeres;2011;84,51
10 Comunitat Valenciana;Mujeres;2010;84,32
10 Comunitat Valenciana;Mujeres;2009;84,18
10 Comunitat Valenciana;Mujeres;2008;83,74
10 Comunitat Valenciana;Mujeres;2007;83,50
10 Comunitat Valenciana;Mujeres;2006;83,47
10 Comunitat Valenciana;Mujeres;2005;82,70
10 Comunitat Valenciana;Mujeres;2004;82,92
10 Comunitat Valenciana;Mujeres;2003;82,26
10 Comunitat Valenciana;Mujeres;2002;82,34
10 Comunitat Valenciana;Mujeres;2001;82,16
10 Comunitat Valenciana;Mujeres;2000;82,09
11 Extremadura;Ambos sexos;2021;82,14
11 Extremadura;Ambos sexos;2020;81,78
11 Extremadura;Ambos sexos;2019;82,79
11 Extremadura;Ambos sexos;2018;82,50
11 Extremadura;Ambos sexos;2017;82,24
11 Extremadura;Ambos sexos;2016;82,29
11 Extremadura;Ambos sexos;2015;82,02
11 Extremadura;Ambos sexos;2014;82,34
11 Extremadura;Ambos sexos;2013;81,85
11 Extremadura;Ambos sexos;2012;81,43
11 Extremadura;Ambos sexos;2011;81,74
11 Extremadura;Ambos sexos;2010;81,21
11 Extremadura;Ambos sexos;2009;81,05
11 Extremadura;Ambos sexos;2008;81,03
11 Extremadura;Ambos sexos;2007;80,48
11 Extremadura;Ambos sexos;2006;80,43
11 Extremadura;Ambos sexos;2005;79,60
11 Extremadura;Ambos sexos;2004;79,82
11 Extremadura;Ambos sexos;2003;79,03
11 Extremadura;Ambos sexos;2002;79,38
11 Extremadura;Ambos sexos;2001;79,25
11 Extremadura;Ambos sexos;2000;78,83
11 Extremadura;Hombres;2021;79,35
11 Extremadura;Hombres;2020;79,11
11 Extremadura;Hombres;2019;79,91
11 Extremadura;Hombres;2018;79,69
11 Extremadura;Hombres;2017;79,53
11 Extremadura;Hombres;2016;79,58
11 Extremadura;Hombres;2015;79,11
11 Extremadura;Hombres;2014;79,54
11 Extremadura;Hombres;2013;79,02
11 Extremadura;Hombres;2012;78,49
11 Extremadura;Hombres;2011;78,63
11 Extremadura;Hombres;2010;78,21
11 Extremadura;Hombres;2009;77,87
11 Extremadura;Hombres;2008;78,05
11 Extremadura;Hombres;2007;77,41
11 Extremadura;Hombres;2006;77,15
11 Extremadura;Hombres;2005;76,34
11 Extremadura;Hombres;2004;76,46
11 Extremadura;Hombres;2003;75,94
11 Extremadura;Hombres;2002;75,97
11 Extremadura;Hombres;2001;76,00
11 Extremadura;Hombres;2000;75,53
11 Extremadura;Mujeres;2021;85,07
11 Extremadura;Mujeres;2020;84,60
11 Extremadura;Mujeres;2019;85,80
11 Extremadura;Mujeres;2018;85,42
11 Extremadura;Mujeres;2017;85,03
11 Extremadura;Mujeres;2016;85,08
11 Extremadura;Mujeres;2015;85,04
11 Extremadura;Mujeres;2014;85,23
11 Extremadura;Mujeres;2013;84,77
11 Extremadura;Mujeres;2012;84,49
11 Extremadura;Mujeres;2011;84,97
11 Extremadura;Mujeres;2010;84,31
11 Extremadura;Mujeres;2009;84,37
11 Extremadura;Mujeres;2008;84,10
11 Extremadura;Mujeres;2007;83,67
11 Extremadura;Mujeres;2006;83,82
11 Extremadura;Mujeres;2005;83,03
11 Extremadura;Mujeres;2004;83,31
11 Extremadura;Mujeres;2003;82,22
11 Extremadura;Mujeres;2002;82,92
11 Extremadura;Mujeres;2001;82,64
11 Extremadura;Mujeres;2000;82,24
12 Galicia;Ambos sexos;2021;83,40
12 Galicia;Ambos sexos;2020;83,33
12 Galicia;Ambos sexos;2019;83,51
12 Galicia;Ambos sexos;2018;83,09
12 Galicia;Ambos sexos;2017;83,07
12 Galicia;Ambos sexos;2016;82,65
12 Galicia;Ambos sexos;2015;82,62
12 Galicia;Ambos sexos;2014;82,92
12 Galicia;Ambos sexos;2013;82,60
12 Galicia;Ambos sexos;2012;82,24
12 Galicia;Ambos sexos;2011;82,11
12 Galicia;Ambos sexos;2010;81,93
12 Galicia;Ambos sexos;2009;81,46
12 Galicia;Ambos sexos;2008;81,31
12 Galicia;Ambos sexos;2007;80,89
12 Galicia;Ambos sexos;2006;80,81
12 Galicia;Ambos sexos;2005;80,51
12 Galicia;Ambos sexos;2004;80,63
12 Galicia;Ambos sexos;2003;79,87
12 Galicia;Ambos sexos;2002;80,00
12 Galicia;Ambos sexos;2001;79,87
12 Galicia;Ambos sexos;2000;79,29
12 Galicia;Hombres;2021;80,44
12 Galicia;Hombres;2020;80,37
12 Galicia;Hombres;2019;80,62
12 Galicia;Hombres;2018;80,13
12 Galicia;Hombres;2017;80,15
12 Galicia;Hombres;2016;79,45
12 Galicia;Hombres;2015;79,60
12 Galicia;Hombres;2014;79,78
12 Galicia;Hombres;2013;79,58
12 Galicia;Hombres;2012;79,08
12 Galicia;Hombres;2011;78,83
12 Galicia;Hombres;2010;78,61
12 Galicia;Hombres;2009;78,12
12 Galicia;Hombres;2008;77,85
12 Galicia;Hombres;2007;77,33
12 Galicia;Hombres;2006;77,23
12 Galicia;Hombres;2005;76,90
12 Galicia;Hombres;2004;77,02
12 Galicia;Hombres;2003;76,33
12 Galicia;Hombres;2002;76,40
12 Galicia;Hombres;2001;76,38
12 Galicia;Hombres;2000;75,61
12 Galicia;Mujeres;2021;86,30
12 Galicia;Mujeres;2020;86,22
12 Galicia;Mujeres;2019;86,31
12 Galicia;Mujeres;2018;85,99
12 Galicia;Mujeres;2017;85,90
12 Galicia;Mujeres;2016;85,84
12 Galicia;Mujeres;2015;85,56
12 Galicia;Mujeres;2014;85,99
12 Galicia;Mujeres;2013;85,54
12 Galicia;Mujeres;2012;85,33
12 Galicia;Mujeres;2011;85,32
12 Galicia;Mujeres;2010;85,21
12 Galicia;Mujeres;2009;84,74
12 Galicia;Mujeres;2008;84,72
12 Galicia;Mujeres;2007;84,41
12 Galicia;Mujeres;2006;84,34
12 Galicia;Mujeres;2005;84,07
12 Galicia;Mujeres;2004;84,17
12 Galicia;Mujeres;2003;83,34
12 Galicia;Mujeres;2002;83,52
12 Galicia;Mujeres;2001;83,24
12 Galicia;Mujeres;2000;82,88
13 Madrid, Comunidad de;Ambos sexos;2021;84,63
13 Madrid, Comunidad de;Ambos sexos;2020;82,33
13 Madrid, Comunidad de;Ambos sexos;2019;84,99
13 Madrid, Comunidad de;Ambos sexos;2018;84,78
13 Madrid, Comunidad de;Ambos sexos;2017;84,53
13 Madrid, Comunidad de;Ambos sexos;2016;84,54
13 Madrid, Comunidad de;Ambos sexos;2015;84,00
13 Madrid, Comunidad de;Ambos sexos;2014;84,22
13 Madrid, Comunidad de;Ambos sexos;2013;84,14
13 Madrid, Comunidad de;Ambos sexos;2012;83,64
13 Madrid, Comunidad de;Ambos sexos;2011;83,63
13 Madrid, Comunidad de;Ambos sexos;2010;83,39
13 Madrid, Comunidad de;Ambos sexos;2009;82,93
13 Madrid, Comunidad de;Ambos sexos;2008;82,58
13 Madrid, Comunidad de;Ambos sexos;2007;82,08
13 Madrid, Comunidad de;Ambos sexos;2006;82,06
13 Madrid, Comunidad de;Ambos sexos;2005;81,50
13 Madrid, Comunidad de;Ambos sexos;2004;81,24
13 Madrid, Comunidad de;Ambos sexos;2003;80,63
13 Madrid, Comunidad de;Ambos sexos;2002;80,81
13 Madrid, Comunidad de;Ambos sexos;2001;80,58
13 Madrid, Comunidad de;Ambos sexos;2000;80,36
13 Madrid, Comunidad de;Hombres;2021;81,81
13 Madrid, Comunidad de;Hombres;2020;79,45
13 Madrid, Comunidad de;Hombres;2019;82,41
13 Madrid, Comunidad de;Hombres;2018;82,07
13 Madrid, Comunidad de;Hombres;2017;81,91
13 Madrid, Comunidad de;Hombres;2016;81,79
13 Madrid, Comunidad de;Hombres;2015;81,19
13 Madrid, Comunidad de;Hombres;2014;81,46
13 Madrid, Comunidad de;Hombres;2013;81,25
13 Madrid, Comunidad de;Hombres;2012;80,81
13 Madrid, Comunidad de;Hombres;2011;80,68
13 Madrid, Comunidad de;Hombres;2010;80,37
13 Madrid, Comunidad de;Hombres;2009;79,82
13 Madrid, Comunidad de;Hombres;2008;79,36
13 Madrid, Comunidad de;Hombres;2007;78,78
13 Madrid, Comunidad de;Hombres;2006;78,72
13 Madrid, Comunidad de;Hombres;2005;78,15
13 Madrid, Comunidad de;Hombres;2004;77,89
13 Madrid, Comunidad de;Hombres;2003;77,15
13 Madrid, Comunidad de;Hombres;2002;77,25
13 Madrid, Comunidad de;Hombres;2001;76,96
13 Madrid, Comunidad de;Hombres;2000;76,88
13 Madrid, Comunidad de;Mujeres;2021;87,14
13 Madrid, Comunidad de;Mujeres;2020;85,05
13 Madrid, Comunidad de;Mujeres;2019;87,24
13 Madrid, Comunidad de;Mujeres;2018;87,16
13 Madrid, Comunidad de;Mujeres;2017;86,81
13 Madrid, Comunidad de;Mujeres;2016;86,96
13 Madrid, Comunidad de;Mujeres;2015;86,49
13 Madrid, Comunidad de;Mujeres;2014;86,61
13 Madrid, Comunidad de;Mujeres;2013;86,68
13 Madrid, Comunidad de;Mujeres;2012;86,12
13 Madrid, Comunidad de;Mujeres;2011;86,21
13 Madrid, Comunidad de;Mujeres;2010;86,06
13 Madrid, Comunidad de;Mujeres;2009;85,68
13 Madrid, Comunidad de;Mujeres;2008;85,45
13 Madrid, Comunidad de;Mujeres;2007;85,06
13 Madrid, Comunidad de;Mujeres;2006;85,08
13 Madrid, Comunidad de;Mujeres;2005;84,53
13 Madrid, Comunidad de;Mujeres;2004;84,28
13 Madrid, Comunidad de;Mujeres;2003;83,81
13 Madrid, Comunidad de;Mujeres;2002;84,09
13 Madrid, Comunidad de;Mujeres;2001;83,92
13 Madrid, Comunidad de;Mujeres;2000;83,54
14 Murcia, Región de;Ambos sexos;2021;82,21
14 Murcia, Región de;Ambos sexos;2020;82,27
14 Murcia, Región de;Ambos sexos;2019;82,63
14 Murcia, Región de;Ambos sexos;2018;82,65
14 Murcia, Región de;Ambos sexos;2017;82,41
14 Murcia, Región de;Ambos sexos;2016;82,52
14 Murcia, Región de;Ambos sexos;2015;82,22
14 Murcia, Región de;Ambos sexos;2014;82,47
14 Murcia, Región de;Ambos sexos;2013;82,28
14 Murcia, Región de;Ambos sexos;2012;81,72
14 Murcia, Región de;Ambos sexos;2011;81,71
14 Murcia, Región de;Ambos sexos;2010;81,62
14 Murcia, Región de;Ambos sexos;2009;80,90
14 Murcia, Región de;Ambos sexos;2008;80,43
14 Murcia, Región de;Ambos sexos;2007;80,30
14 Murcia, Región de;Ambos sexos;2006;80,27
14 Murcia, Región de;Ambos sexos;2005;79,71
14 Murcia, Región de;Ambos sexos;2004;79,54
14 Murcia, Región de;Ambos sexos;2003;79,11
14 Murcia, Región de;Ambos sexos;2002;78,96
14 Murcia, Región de;Ambos sexos;2001;78,95
14 Murcia, Región de;Ambos sexos;2000;78,42
14 Murcia, Región de;Hombres;2021;79,62
14 Murcia, Región de;Hombres;2020;79,58
14 Murcia, Región de;Hombres;2019;80,10
14 Murcia, Región de;Hombres;2018;80,11
14 Murcia, Región de;Hombres;2017;79,80
14 Murcia, Región de;Hombres;2016;80,14
14 Murcia, Región de;Hombres;2015;79,74
14 Murcia, Región de;Hombres;2014;80,02
14 Murcia, Región de;Hombres;2013;79,76
14 Murcia, Región de;Hombres;2012;78,89
14 Murcia, Región de;Hombres;2011;78,98
14 Murcia, Región de;Hombres;2010;78,95
14 Murcia, Región de;Hombres;2009;78,22
14 Murcia, Región de;Hombres;2008;77,84
14 Murcia, Región de;Hombres;2007;77,28
14 Murcia, Región de;Hombres;2006;77,27
14 Murcia, Región de;Hombres;2005;76,63
14 Murcia, Región de;Hombres;2004;76,50
14 Murcia, Región de;Hombres;2003;76,21
14 Murcia, Región de;Hombres;2002;75,91
14 Murcia, Región de;Hombres;2001;75,63
14 Murcia, Región de;Hombres;2000;75,24
14 Murcia, Región de;Mujeres;2021;84,84
14 Murcia, Región de;Mujeres;2020;85,01
14 Murcia, Región de;Mujeres;2019;85,16
14 Murcia, Región de;Mujeres;2018;85,17
14 Murcia, Región de;Mujeres;2017;85,03
14 Murcia, Región de;Mujeres;2016;84,87
14 Murcia, Región de;Mujeres;2015;84,69
14 Murcia, Región de;Mujeres;2014;84,88
14 Murcia, Región de;Mujeres;2013;84,77
14 Murcia, Región de;Mujeres;2012;84,60
14 Murcia, Región de;Mujeres;2011;84,44
14 Murcia, Región de;Mujeres;2010;84,30
14 Murcia, Región de;Mujeres;2009;83,58
14 Murcia, Región de;Mujeres;2008;83,05
14 Murcia, Región de;Mujeres;2007;83,41
14 Murcia, Región de;Mujeres;2006;83,34
14 Murcia, Región de;Mujeres;2005;82,89
14 Murcia, Región de;Mujeres;2004;82,62
14 Murcia, Región de;Mujeres;2003;82,05
14 Murcia, Región de;Mujeres;2002;82,04
14 Murcia, Región de;Mujeres;2001;82,34
14 Murcia, Región de;Mujeres;2000;81,63
15 Navarra, Comunidad Foral de;Ambos sexos;2021;84,28
15 Navarra, Comunidad Foral de;Ambos sexos;2020;83,36
15 Navarra, Comunidad Foral de;Ambos sexos;2019;84,57
15 Navarra, Comunidad Foral de;Ambos sexos;2018;84,16
15 Navarra, Comunidad Foral de;Ambos sexos;2017;83,82
15 Navarra, Comunidad Foral de;Ambos sexos;2016;83,83
15 Navarra, Comunidad Foral de;Ambos sexos;2015;83,76
15 Navarra, Comunidad Foral de;Ambos sexos;2014;83,46
15 Navarra, Comunidad Foral de;Ambos sexos;2013;83,50
15 Navarra, Comunidad Foral de;Ambos sexos;2012;83,42
15 Navarra, Comunidad Foral de;Ambos sexos;2011;83,47
15 Navarra, Comunidad Foral de;Ambos sexos;2010;83,68
15 Navarra, Comunidad Foral de;Ambos sexos;2009;82,90
15 Navarra, Comunidad Foral de;Ambos sexos;2008;82,29
15 Navarra, Comunidad Foral de;Ambos sexos;2007;82,20
15 Navarra, Comunidad Foral de;Ambos sexos;2006;82,02
15 Navarra, Comunidad Foral de;Ambos sexos;2005;81,62
15 Navarra, Comunidad Foral de;Ambos sexos;2004;81,46
15 Navarra, Comunidad Foral de;Ambos sexos;2003;80,91
15 Navarra, Comunidad Foral de;Ambos sexos;2002;80,83
15 Navarra, Comunidad Foral de;Ambos sexos;2001;81,01
15 Navarra, Comunidad Foral de;Ambos sexos;2000;80,40
15 Navarra, Comunidad Foral de;Hombres;2021;81,64
15 Navarra, Comunidad Foral de;Hombres;2020;80,72
15 Navarra, Comunidad Foral de;Hombres;2019;82,14
15 Navarra, Comunidad Foral de;Hombres;2018;81,47
15 Navarra, Comunidad Foral de;Hombres;2017;81,07
15 Navarra, Comunidad Foral de;Hombres;2016;81,11
15 Navarra, Comunidad Foral de;Hombres;2015;80,96
15 Navarra, Comunidad Foral de;Hombres;2014;80,64
15 Navarra, Comunidad Foral de;Hombres;2013;80,62
15 Navarra, Comunidad Foral de;Hombres;2012;80,35
15 Navarra, Comunidad Foral de;Hombres;2011;80,81
15 Navarra, Comunidad Foral de;Hombres;2010;80,75
15 Navarra, Comunidad Foral de;Hombres;2009;79,76
15 Navarra, Comunidad Foral de;Hombres;2008;79,24
15 Navarra, Comunidad Foral de;Hombres;2007;79,00
15 Navarra, Comunidad Foral de;Hombres;2006;78,59
15 Navarra, Comunidad Foral de;Hombres;2005;78,63
15 Navarra, Comunidad Foral de;Hombres;2004;78,32
15 Navarra, Comunidad Foral de;Hombres;2003;77,69
15 Navarra, Comunidad Foral de;Hombres;2002;76,99
15 Navarra, Comunidad Foral de;Hombres;2001;77,67
15 Navarra, Comunidad Foral de;Hombres;2000;77,02
15 Navarra, Comunidad Foral de;Mujeres;2021;86,89
15 Navarra, Comunidad Foral de;Mujeres;2020;86,01
15 Navarra, Comunidad Foral de;Mujeres;2019;86,95
15 Navarra, Comunidad Foral de;Mujeres;2018;86,83
15 Navarra, Comunidad Foral de;Mujeres;2017;86,56
15 Navarra, Comunidad Foral de;Mujeres;2016;86,53
15 Navarra, Comunidad Foral de;Mujeres;2015;86,56
15 Navarra, Comunidad Foral de;Mujeres;2014;86,28
15 Navarra, Comunidad Foral de;Mujeres;2013;86,36
15 Navarra, Comunidad Foral de;Mujeres;2012;86,53
15 Navarra, Comunidad Foral de;Mujeres;2011;86,05
15 Navarra, Comunidad Foral de;Mujeres;2010;86,52
15 Navarra, Comunidad Foral de;Mujeres;2009;86,02
15 Navarra, Comunidad Foral de;Mujeres;2008;85,36
15 Navarra, Comunidad Foral de;Mujeres;2007;85,41
15 Navarra, Comunidad Foral de;Mujeres;2006;85,49
15 Navarra, Comunidad Foral de;Mujeres;2005;84,58
15 Navarra, Comunidad Foral de;Mujeres;2004;84,59
15 Navarra, Comunidad Foral de;Mujeres;2003;84,18
15 Navarra, Comunidad Foral de;Mujeres;2002;84,85
15 Navarra, Comunidad Foral de;Mujeres;2001;84,39
15 Navarra, Comunidad Foral de;Mujeres;2000;83,87
16 País Vasco;Ambos sexos;2021;83,69
16 País Vasco;Ambos sexos;2020;83,17
16 País Vasco;Ambos sexos;2019;83,97
16 País Vasco;Ambos sexos;2018;83,65
16 País Vasco;Ambos sexos;2017;83,54
16 País Vasco;Ambos sexos;2016;83,43
16 País Vasco;Ambos sexos;2015;83,09
16 País Vasco;Ambos sexos;2014;83,35
16 País Vasco;Ambos sexos;2013;83,13
16 País Vasco;Ambos sexos;2012;82,75
16 País Vasco;Ambos sexos;2011;82,46
16 País Vasco;Ambos sexos;2010;82,42
16 País Vasco;Ambos sexos;2009;81,98
16 País Vasco;Ambos sexos;2008;81,74
16 País Vasco;Ambos sexos;2007;81,34
16 País Vasco;Ambos sexos;2006;81,49
16 País Vasco;Ambos sexos;2005;80,86
16 País Vasco;Ambos sexos;2004;80,78
16 País Vasco;Ambos sexos;2003;80,26
16 País Vasco;Ambos sexos;2002;80,16
16 País Vasco;Ambos sexos;2001;80,18
16 País Vasco;Ambos sexos;2000;79,61
16 País Vasco;Hombres;2021;80,84
16 País Vasco;Hombres;2020;80,27
16 País Vasco;Hombres;2019;81,02
16 País Vasco;Hombres;2018;80,83
16 País Vasco;Hombres;2017;80,58
16 País Vasco;Hombres;2016;80,39
16 País Vasco;Hombres;2015;80,10
16 País Vasco;Hombres;2014;80,38
16 País Vasco;Hombres;2013;79,87
16 País Vasco;Hombres;2012;79,55
16 País Vasco;Hombres;2011;79,22
16 País Vasco;Hombres;2010;79,18
16 País Vasco;Hombres;2009;78,61
16 País Vasco;Hombres;2008;78,35
16 País Vasco;Hombres;2007;77,92
16 País Vasco;Hombres;2006;77,93
16 País Vasco;Hombres;2005;77,16
16 País Vasco;Hombres;2004;77,27
16 País Vasco;Hombres;2003;76,74
16 País Vasco;Hombres;2002;76,56
16 País Vasco;Hombres;2001;76,41
16 País Vasco;Hombres;2000;75,88
16 País Vasco;Mujeres;2021;86,39
16 País Vasco;Mujeres;2020;85,97
16 País Vasco;Mujeres;2019;86,77
16 País Vasco;Mujeres;2018;86,30
16 País Vasco;Mujeres;2017;86,35
16 País Vasco;Mujeres;2016;86,33
16 País Vasco;Mujeres;2015;85,93
16 País Vasco;Mujeres;2014;86,12
16 País Vasco;Mujeres;2013;86,25
16 País Vasco;Mujeres;2012;85,84
16 País Vasco;Mujeres;2011;85,58
16 País Vasco;Mujeres;2010;85,53
16 País Vasco;Mujeres;2009;85,25
16 País Vasco;Mujeres;2008;85,04
16 País Vasco;Mujeres;2007;84,68
16 País Vasco;Mujeres;2006;84,96
16 País Vasco;Mujeres;2005;84,53
16 País Vasco;Mujeres;2004;84,24
16 País Vasco;Mujeres;2003;83,73
16 País Vasco;Mujeres;2002;83,69
16 País Vasco;Mujeres;2001;83,92
16 País Vasco;Mujeres;2000;83,31
17 Rioja, La;Ambos sexos;2021;83,22
17 Rioja, La;Ambos sexos;2020;82,47
17 Rioja, La;Ambos sexos;2019;83,81
17 Rioja, La;Ambos sexos;2018;83,61
17 Rioja, La;Ambos sexos;2017;83,60
17 Rioja, La;Ambos sexos;2016;83,79
17 Rioja, La;Ambos sexos;2015;83,36
17 Rioja, La;Ambos sexos;2014;83,78
17 Rioja, La;Ambos sexos;2013;83,61
17 Rioja, La;Ambos sexos;2012;82,66
17 Rioja, La;Ambos sexos;2011;82,85
17 Rioja, La;Ambos sexos;2010;82,95
17 Rioja, La;Ambos sexos;2009;82,52
17 Rioja, La;Ambos sexos;2008;81,93
17 Rioja, La;Ambos sexos;2007;81,49
17 Rioja, La;Ambos sexos;2006;81,88
17 Rioja, La;Ambos sexos;2005;80,97
17 Rioja, La;Ambos sexos;2004;81,35
17 Rioja, La;Ambos sexos;2003;80,60
17 Rioja, La;Ambos sexos;2002;80,48
17 Rioja, La;Ambos sexos;2001;80,55
17 Rioja, La;Ambos sexos;2000;80,43
17 Rioja, La;Hombres;2021;80,40
17 Rioja, La;Hombres;2020;79,60
17 Rioja, La;Hombres;2019;81,06
17 Rioja, La;Hombres;2018;80,88
17 Rioja, La;Hombres;2017;80,90
17 Rioja, La;Hombres;2016;81,18
17 Rioja, La;Hombres;2015;80,63
17 Rioja, La;Hombres;2014;80,69
17 Rioja, La;Hombres;2013;80,85
17 Rioja, La;Hombres;2012;79,63
17 Rioja, La;Hombres;2011;79,85
17 Rioja, La;Hombres;2010;80,18
17 Rioja, La;Hombres;2009;79,55
17 Rioja, La;Hombres;2008;79,02
17 Rioja, La;Hombres;2007;77,95
17 Rioja, La;Hombres;2006;78,53
17 Rioja, La;Hombres;2005;77,67
17 Rioja, La;Hombres;2004;78,40
17 Rioja, La;Hombres;2003;77,28
17 Rioja, La;Hombres;2002;77,13
17 Rioja, La;Hombres;2001;76,77
17 Rioja, La;Hombres;2000;76,93
17 Rioja, La;Mujeres;2021;86,11
17 Rioja, La;Mujeres;2020;85,46
17 Rioja, La;Mujeres;2019;86,60
17 Rioja, La;Mujeres;2018;86,41
17 Rioja, La;Mujeres;2017;86,32
17 Rioja, La;Mujeres;2016;86,41
17 Rioja, La;Mujeres;2015;86,12
17 Rioja, La;Mujeres;2014;86,95
17 Rioja, La;Mujeres;2013;86,37
17 Rioja, La;Mujeres;2012;85,83
17 Rioja, La;Mujeres;2011;86,00
17 Rioja, La;Mujeres;2010;85,79
17 Rioja, La;Mujeres;2009;85,58
17 Rioja, La;Mujeres;2008;84,90
17 Rioja, La;Mujeres;2007;85,28
17 Rioja, La;Mujeres;2006;85,35
17 Rioja, La;Mujeres;2005;84,43
17 Rioja, La;Mujeres;2004;84,33
17 Rioja, La;Mujeres;2003;84,09
17 Rioja, La;Mujeres;2002;84,02
17 Rioja, La;Mujeres;2001;84,52
17 Rioja, La;Mujeres;2000;84,10
18 Ceuta;Ambos sexos;2021;78,47
18 Ceuta;Ambos sexos;2020;79,28
18 Ceuta;Ambos sexos;2019;80,55
18 Ceuta;Ambos sexos;2018;80,51
18 Ceuta;Ambos sexos;2017;79,31
18 Ceuta;Ambos sexos;2016;80,73
18 Ceuta;Ambos sexos;2015;80,27
18 Ceuta;Ambos sexos;2014;79,88
18 Ceuta;Ambos sexos;2013;79,38
18 Ceuta;Ambos sexos;2012;80,18
18 Ceuta;Ambos sexos;2011;79,43
18 Ceuta;Ambos sexos;2010;78,52
18 Ceuta;Ambos sexos;2009;78,09
18 Ceuta;Ambos sexos;2008;78,76
18 Ceuta;Ambos sexos;2007;77,92
18 Ceuta;Ambos sexos;2006;78,16
18 Ceuta;Ambos sexos;2005;77,95
18 Ceuta;Ambos sexos;2004;77,89
18 Ceuta;Ambos sexos;2003;77,58
18 Ceuta;Ambos sexos;2002;76,77
18 Ceuta;Ambos sexos;2001;77,95
18 Ceuta;Ambos sexos;2000;78,08
18 Ceuta;Hombres;2021;76,04
18 Ceuta;Hombres;2020;77,52
18 Ceuta;Hombres;2019;78,54
18 Ceuta;Hombres;2018;78,63
18 Ceuta;Hombres;2017;76,65
18 Ceuta;Hombres;2016;77,85
18 Ceuta;Hombres;2015;77,14
18 Ceuta;Hombres;2014;76,69
18 Ceuta;Hombres;2013;77,49
18 Ceuta;Hombres;2012;78,64
18 Ceuta;Hombres;2011;76,67
18 Ceuta;Hombres;2010;75,81
18 Ceuta;Hombres;2009;75,58
18 Ceuta;Hombres;2008;76,50
18 Ceuta;Hombres;2007;75,18
18 Ceuta;Hombres;2006;75,13
18 Ceuta;Hombres;2005;75,44
18 Ceuta;Hombres;2004;74,61
18 Ceuta;Hombres;2003;74,63
18 Ceuta;Hombres;2002;73,25
18 Ceuta;Hombres;2001;75,30
18 Ceuta;Hombres;2000;75,12
18 Ceuta;Mujeres;2021;81,20
18 Ceuta;Mujeres;2020;81,22
18 Ceuta;Mujeres;2019;82,66
18 Ceuta;Mujeres;2018;82,34
18 Ceuta;Mujeres;2017;82,11
18 Ceuta;Mujeres;2016;83,82
18 Ceuta;Mujeres;2015;83,61
18 Ceuta;Mujeres;2014;83,38
18 Ceuta;Mujeres;2013;81,30
18 Ceuta;Mujeres;2012;81,84
18 Ceuta;Mujeres;2011;82,31
18 Ceuta;Mujeres;2010;81,44
18 Ceuta;Mujeres;2009;80,68
18 Ceuta;Mujeres;2008;81,07
18 Ceuta;Mujeres;2007;80,61
18 Ceuta;Mujeres;2006;81,23
18 Ceuta;Mujeres;2005;80,43
18 Ceuta;Mujeres;2004;81,25
18 Ceuta;Mujeres;2003;80,60
18 Ceuta;Mujeres;2002;80,38
18 Ceuta;Mujeres;2001;80,54
18 Ceuta;Mujeres;2000;81,06
19 Melilla;Ambos sexos;2021;79,79
19 Melilla;Ambos sexos;2020;78,82
19 Melilla;Ambos sexos;2019;80,71
19 Melilla;Ambos sexos;2018;80,22
19 Melilla;Ambos sexos;2017;80,28
19 Melilla;Ambos sexos;2016;80,49
19 Melilla;Ambos sexos;2015;79,93
19 Melilla;Ambos sexos;2014;80,06
19 Melilla;Ambos sexos;2013;80,36
19 Melilla;Ambos sexos;2012;80,30
19 Melilla;Ambos sexos;2011;79,93
19 Melilla;Ambos sexos;2010;81,13
19 Melilla;Ambos sexos;2009;80,56
19 Melilla;Ambos sexos;2008;78,41
19 Melilla;Ambos sexos;2007;78,78
19 Melilla;Ambos sexos;2006;78,21
